account_id,customer_id,account_type,branch_code,opening_date,current_balance,available_balance,currency,account_status,freeze_status,last_transaction_date
ACC000000033,CUST0001811,SAVINGS,BR0025,2019-03-29,41476.51,21429.36,INR,ACTIVE,N,2024-10-23
ACC000000034,CUST0002334,SALARY,BR0062,2017-05-26,98899.95,70667.25,INR,ACTIVE,N,2024-02-08
ACC000000035,CUST0001823,SAVINGS,BR0101,2017-06-30,120773.62,82181.1,INR,ACTIVE,N,2026-06-02
ACC000000036,CUST0001234,SAVINGS,BR0006,2014-09-22,81861.04,61101.05,INR,ACTIVE,N,2026-07-20
ACC000000037,CUST0000506,CURRENT,BR0082,2017-02-09,23573.83,17111.53,INR,ACTIVE,N,2026-02-27
ACC000000038,CUST0006501,SALARY,BR0005,2022-12-25,134980.32,93949.47,GBP,ACTIVE,N,2024-10-02
ACC000000039,CUST0002435,SAVINGS,BR0014,2018-04-17,35664.68,13102.1,INR,ACTIVE,N,2026-03-12
ACC000000040,CUST0005439,SAVINGS,BR0055,2023-10-28,385381.1,363705.71,INR,DORMANT,N,2026-07-14
ACC000000041,CUST0006565,SALARY,BR0071,2013-10-31,37875.96,6381.23,INR,ACTIVE,N,2024-11-17
ACC000000042,CUST0001934,CURRENT,BR0073,2026-03-23,33071.38,8439.11,EUR,ACTIVE,N,2026-05-27
ACC000000043,CUST0001547,SALARY,BR0035,2022-09-27,56345.44,28123.34,INR,DORMANT,N,2023-01-06
ACC000000044,CUST0007161,SALARY,BR0100,2026-04-10,214361.09,199769.54,USD,ACTIVE,N,2026-06-27
ACC000000045,CUST0009638,FIXED_DEPOSIT,BR0108,2026-04-02,250116.12,221221.8,INR,ACTIVE,N,2026-04-04
ACC000000046,CUST0008554,SAVINGS,BR0035,2014-05-15,63144.81,15480.31,INR,ACTIVE,N,2023-05-31
ACC000000047,CUST0002543,FIXED_DEPOSIT,BR0067,2016-02-11,60965.19,47488.06,INR,CLOSED,N,2023-11-18
ACC000000048,CUST0005858,SAVINGS,BR0070,2018-07-14,22671.37,13805.48,INR,ACTIVE,N,2024-10-28
ACC000000049,CUST0006898,SAVINGS,BR0116,2024-08-24,23287.21,19179.0,INR,ACTIVE,N,2025-01-10
ACC000000050,CUST0008093,SAVINGS,BR0054,2023-06-13,39397.92,5618.16,INR,BLOCKED,Y,2024-05-17
ACC000000051,CUST0007744,SAVINGS,BR0046,2015-08-26,160515.11,151611.75,INR,ACTIVE,N,2023-07-27
ACC000000052,CUST0000317,CURRENT,BR0025,2015-09-01,151106.11,139156.53,INR,ACTIVE,N,2023-06-09
ACC000000053,CUST0005742,FIXED_DEPOSIT,BR0051,2021-07-10,40741.51,10199.94,INR,ACTIVE,N,2025-11-17
ACC000000054,CUST0008228,SAVINGS,BR0073,2015-12-24,71258.01,24830.69,INR,ACTIVE,N,2023-07-18
ACC000000055,CUST0008505,SAVINGS,BR0073,2014-08-23,30634.36,21371.3,INR,ACTIVE,N,2024-07-31
ACC000000056,CUST0007927,SALARY,BR0008,2019-02-03,36710.98,14263.13,INR,ACTIVE,N,2025-10-03
ACC000000057,CUST0001282,SAVINGS,BR0103,2013-01-20,33846.68,28093.6,INR,ACTIVE,N,2023-02-11
ACC000000058,CUST0005116,SAVINGS,BR0030,2019-01-30,146124.58,110126.89,INR,ACTIVE,N,2025-12-28
ACC000000059,CUST0001816,SAVINGS,BR0063,2016-06-11,92810.51,47442.82,EUR,ACTIVE,N,2026-03-06
ACC000000060,CUST0000110,SALARY,BR0001,2020-08-19,69638.62,63412.96,INR,ACTIVE,N,2023-02-26
ACC000000061,CUST0009815,SAVINGS,BR0010,2019-08-20,65016.89,46527.69,INR,ACTIVE,N,2025-07-25
ACC000000062,CUST0004352,SAVINGS,BR0029,2014-02-22,58913.56,22782.32,INR,ACTIVE,N,2025-10-25
ACC000000063,CUST0000985,SAVINGS,BR0109,2025-10-23,38850.83,38413.25,INR,ACTIVE,N,2026-07-01
ACC000000064,CUST0003844,SALARY,BR0105,2025-03-03,86136.66,40402.4,INR,ACTIVE,N,2025-06-29
ACC000000065,CUST0002797,SAVINGS,BR0067,2024-02-01,131341.66,100221.82,INR,ACTIVE,N,2025-04-03
ACC000000066,CUST0002217,SAVINGS,BR0079,2020-10-07,99122.79,62008.38,INR,ACTIVE,N,2025-03-25
ACC000000067,CUST0003931,CURRENT,BR0092,2021-06-17,106459.82,65861.32,INR,ACTIVE,N,2025-12-03
ACC000000068,CUST0000794,SALARY,BR0089,2019-11-12,61971.0,59878.04,INR,BLOCKED,Y,2023-05-22
ACC000000069,CUST0006156,SAVINGS,BR0107,2017-06-08,113534.9,89182.02,INR,DORMANT,N,2024-03-22
ACC000000070,CUST0009270,SAVINGS,BR0109,2014-08-18,300300.39,252051.57,INR,CLOSED,N,2024-02-11
ACC000000071,CUST0001677,CURRENT,BR0075,2019-09-11,327583.22,301577.96,INR,ACTIVE,N,2024-03-26
ACC000000072,CUST0000623,SALARY,BR0120,2020-09-02,68890.89,30045.91,USD,ACTIVE,N,2025-08-20
ACC000000073,CUST0005054,CURRENT,BR0095,2018-06-30,32207.17,23748.43,INR,ACTIVE,N,2023-03-31
ACC000000074,CUST0001741,SAVINGS,BR0019,2021-08-28,16796.76,571.25,INR,ACTIVE,N,2024-01-10
ACC000000075,CUST0004083,SALARY,BR0038,2017-02-28,40513.0,4756.61,INR,ACTIVE,N,2026-06-07
ACC000000076,CUST0008017,SAVINGS,BR0079,2025-12-09,967185.59,952834.31,USD,ACTIVE,N,2026-02-11
ACC000000077,CUST0001767,SAVINGS,BR0110,2017-08-23,51817.83,2328.17,INR,ACTIVE,N,2023-04-02
ACC000000078,CUST0007737,SAVINGS,BR0069,2018-03-15,179232.53,146598.37,INR,ACTIVE,N,2024-05-29
ACC000000079,CUST0001692,SAVINGS,BR0013,2019-10-04,54506.26,30047.62,INR,ACTIVE,N,2024-05-19
ACC000000080,CUST0006770,SAVINGS,BR0111,2016-10-13,393720.43,356723.4,INR,DORMANT,Y,2025-12-03
ACC000000081,CUST0006118,SAVINGS,BR0031,2025-12-09,49696.79,12410.41,INR,ACTIVE,N,2025-12-24
ACC000000082,CUST0007004,SALARY,BR0077,2021-08-26,48700.11,6143.54,INR,ACTIVE,Y,2024-04-23
ACC000000083,CUST0005765,SAVINGS,BR0056,2014-04-30,480804.26,457876.05,INR,ACTIVE,N,2023-09-04
ACC000000084,CUST0001455,SAVINGS,BR0081,2023-07-21,33142.83,17025.56,INR,ACTIVE,N,2026-04-25
ACC000000085,CUST0001675,SAVINGS,BR0088,2013-10-25,25594.7,5795.12,INR,ACTIVE,N,2023-06-04
ACC000000086,CUST0002029,SAVINGS,BR0120,2026-01-17,96132.46,47802.05,INR,ACTIVE,N,2026-06-01
ACC000000087,CUST0001767,SAVINGS,BR0112,2024-02-06,24085.97,18789.87,INR,ACTIVE,N,2024-08-13
ACC000000088,CUST0003713,SAVINGS,BR0095,2017-04-27,20480.84,7050.82,INR,ACTIVE,N,2026-02-14
ACC000000089,CUST0000089,CURRENT,BR0075,2021-01-15,57422.81,21524.33,INR,ACTIVE,N,2023-09-24
ACC000000090,CUST0005508,SAVINGS,BR0115,2025-10-26,53333.14,43454.15,INR,ACTIVE,N,2026-06-06
ACC000000091,CUST0006087,SAVINGS,BR0035,2016-01-24,6800.43,3185.78,INR,ACTIVE,N,2025-06-26
ACC000000092,CUST0001218,SAVINGS,BR0010,2024-04-08,78922.42,53842.71,INR,ACTIVE,N,2025-10-01
ACC000000093,CUST0008678,SAVINGS,BR0022,2024-06-14,158358.98,124346.55,INR,BLOCKED,Y,2026-04-21
ACC000000094,CUST0001672,SAVINGS,BR0066,2021-08-28,10345.65,428.41,INR,ACTIVE,N,2024-11-18
ACC000000095,CUST0003661,CURRENT,BR0116,2017-11-13,41664.15,20758.32,INR,ACTIVE,N,2025-12-13
ACC000000096,CUST0009686,CURRENT,BR0046,2015-04-25,35102.49,277.0,INR,BLOCKED,Y,2024-08-10
ACC000000097,CUST0003497,SAVINGS,BR0078,2021-11-30,77296.16,56314.5,INR,ACTIVE,N,2025-04-20
ACC000000098,CUST0006794,SAVINGS,BR0075,2020-05-30,105908.56,60228.07,INR,ACTIVE,N,2025-03-12
ACC000000099,CUST0005493,CURRENT,BR0021,2019-06-25,151894.83,137082.62,INR,ACTIVE,N,2025-11-13
ACC000000100,CUST0005828,SAVINGS,BR0083,2020-12-22,105443.25,101568.38,USD,ACTIVE,N,2025-10-01
ACC000000101,CUST0005160,SAVINGS,BR0101,2017-04-19,11106.52,4421.58,INR,ACTIVE,N,2023-07-01
ACC000000102,CUST0001720,SAVINGS,BR0023,2017-11-15,39860.65,20915.83,INR,ACTIVE,N,2025-11-10
ACC000000103,CUST0009832,CURRENT,BR0081,2021-01-29,41218.75,15722.59,INR,ACTIVE,N,2026-04-16
ACC000000104,CUST0004832,SAVINGS,BR0096,2020-06-11,32354.77,2933.39,INR,ACTIVE,N,2023-09-24
ACC000000105,CUST0000862,SAVINGS,BR0058,2021-09-19,366840.47,356875.43,INR,ACTIVE,N,2024-10-07
ACC000000106,CUST0006288,CURRENT,BR0039,2026-03-27,258945.39,231660.31,INR,DORMANT,N,2026-05-15
ACC000000107,CUST0000955,SAVINGS,BR0089,2018-01-13,56163.73,31509.48,INR,ACTIVE,N,2023-05-24
ACC000000108,CUST0007719,SAVINGS,BR0116,2025-03-14,61677.97,45221.29,INR,ACTIVE,N,2025-03-28
ACC000000109,CUST0001415,CURRENT,BR0103,2025-06-21,237467.65,208544.85,INR,ACTIVE,N,2025-09-03
ACC000000110,CUST0007151,SAVINGS,BR0081,2021-08-19,64034.87,39303.88,INR,ACTIVE,N,2026-06-29
ACC000000111,CUST0009839,FIXED_DEPOSIT,BR0055,2013-02-02,74034.35,29870.81,INR,ACTIVE,N,2025-05-01
ACC000000112,CUST0000405,CURRENT,BR0095,2023-11-11,32560.24,30651.53,INR,ACTIVE,N,2024-02-24
ACC000000113,CUST0007523,CURRENT,BR0104,2024-05-11,7689.26,3.69,INR,ACTIVE,N,2025-04-15
ACC000000114,CUST0002813,CURRENT,BR0011,2015-09-06,27198.52,26744.55,INR,ACTIVE,N,2025-02-16
ACC000000115,CUST0003276,SAVINGS,BR0005,2016-07-19,359121.69,350131.69,INR,ACTIVE,N,2026-04-30
ACC000000116,CUST0001989,SAVINGS,BR0030,2017-06-06,79756.89,49743.52,INR,ACTIVE,N,2023-09-09
ACC000000117,CUST0005828,CURRENT,BR0050,2018-08-11,603836.81,600048.54,INR,ACTIVE,N,2023-05-29
ACC000000118,CUST0002812,SAVINGS,BR0027,2022-10-15,400682.13,369061.51,INR,ACTIVE,N,2025-01-02
ACC000000119,CUST0004262,SAVINGS,BR0072,2020-03-13,33639.61,31127.1,INR,ACTIVE,N,2024-11-21
ACC000000120,CUST0006010,SAVINGS,BR0058,2023-06-03,36411.43,13328.21,INR,ACTIVE,N,2024-02-19
ACC000000121,CUST0001478,SAVINGS,BR0018,2024-12-05,28386.76,25625.51,INR,ACTIVE,N,2025-10-11
ACC000000122,CUST0006610,SALARY,BR0062,2022-10-23,16323.46,7325.87,INR,ACTIVE,N,2025-10-18
ACC000000123,CUST0003147,SAVINGS,BR0076,2014-06-24,9670.37,6093.35,INR,ACTIVE,N,2025-05-04
ACC000000124,CUST0007409,SAVINGS,BR0082,2025-07-06,161484.42,116952.3,INR,ACTIVE,N,2026-07-19
ACC000000125,CUST0008546,SALARY,BR0100,2013-02-26,570585.5,569099.99,INR,ACTIVE,N,2024-12-09
ACC000000126,CUST0005984,SALARY,BR0101,2018-10-07,69928.34,35412.47,INR,ACTIVE,N,2025-01-14
ACC000000127,CUST0006735,SAVINGS,BR0087,2024-04-02,40495.29,30588.99,INR,ACTIVE,N,2024-12-22
ACC000000128,CUST0008326,CURRENT,BR0077,2019-05-21,43565.13,10140.35,INR,ACTIVE,N,2025-04-30
ACC000000129,CUST0005722,SAVINGS,BR0031,2026-01-10,80582.13,70439.61,INR,ACTIVE,N,2026-02-09
ACC000000130,CUST0003444,SAVINGS,BR0010,2026-04-06,34768.6,1019.08,INR,ACTIVE,N,2026-04-26
ACC000000131,CUST0005920,SAVINGS,BR0045,2024-10-11,82710.83,46331.74,INR,ACTIVE,N,2025-11-26
ACC000000132,CUST0001590,SAVINGS,BR0066,2013-11-06,299629.52,282577.1,INR,ACTIVE,N,2025-02-18
ACC000000133,CUST0008894,SAVINGS,BR0035,2024-05-13,75809.87,37187.57,INR,ACTIVE,N,2024-07-16
ACC000000134,CUST0008858,SAVINGS,BR0049,2019-04-29,17966.98,12397.84,INR,CLOSED,N,2023-06-20
ACC000000135,CUST0000493,CURRENT,BR0075,2016-05-17,111418.84,64204.11,INR,ACTIVE,N,2024-06-12
ACC000000136,CUST0001283,SAVINGS,BR0058,2020-04-08,23617.5,11253.9,INR,ACTIVE,N,2025-09-10
ACC000000137,CUST0007701,CURRENT,BR0043,2025-02-25,56403.95,35741.12,INR,ACTIVE,N,2025-08-24
ACC000000138,CUST0006988,SAVINGS,BR0111,2019-04-30,125803.51,77520.56,GBP,ACTIVE,N,2026-03-09
ACC000000139,CUST0001762,SAVINGS,BR0017,2018-03-07,108242.74,100728.81,INR,ACTIVE,N,2023-07-08
ACC000000140,CUST0004688,SAVINGS,BR0117,2022-07-04,116017.7,85041.41,INR,ACTIVE,N,2024-08-30
ACC000000141,CUST0004994,SAVINGS,BR0018,2017-06-07,1907679.84,1892560.94,INR,CLOSED,N,2024-12-30
ACC000000142,CUST0009464,SALARY,BR0103,2013-06-19,43800.22,9856.81,INR,ACTIVE,N,2025-06-08
ACC000000143,CUST0002708,SAVINGS,BR0064,2019-05-31,41716.43,17314.61,INR,ACTIVE,N,2026-01-29
ACC000000144,CUST0001806,FIXED_DEPOSIT,BR0078,2015-02-14,23531.37,19738.07,INR,ACTIVE,N,2023-12-29
ACC000000145,CUST0007228,SAVINGS,BR0091,2018-05-31,162541.05,131252.42,INR,ACTIVE,N,2023-05-26
ACC000000146,CUST0000644,SAVINGS,BR0020,2013-12-16,26370.24,8820.05,INR,ACTIVE,N,2023-06-16
ACC000000147,CUST0008969,SAVINGS,BR0073,2019-12-13,54756.25,35465.38,INR,ACTIVE,N,2025-10-24
ACC000000148,CUST0002519,SAVINGS,BR0033,2017-10-28,74947.05,46215.61,INR,ACTIVE,N,2023-07-20
ACC000000149,CUST0001854,CURRENT,BR0118,2013-04-26,316438.27,306070.97,INR,ACTIVE,N,2025-11-16
ACC000000150,CUST0007130,SAVINGS,BR0016,2019-10-03,93722.66,86441.73,INR,ACTIVE,N,2026-01-20
ACC000000151,CUST0004311,CURRENT,BR0115,2021-12-27,230654.38,190797.02,EUR,ACTIVE,N,2025-04-08
ACC000000152,CUST0000910,SAVINGS,BR0044,2021-03-29,93463.33,67390.41,INR,ACTIVE,N,2025-11-29
ACC000000153,CUST0003910,SALARY,BR0078,2015-01-02,70156.17,42701.76,INR,ACTIVE,N,2024-07-07
ACC000000154,CUST0001650,SAVINGS,BR0111,2021-10-26,30258.97,8754.72,INR,ACTIVE,N,2023-08-03
ACC000000155,CUST0004992,SAVINGS,BR0079,2014-02-22,28999.56,23890.9,INR,ACTIVE,N,2024-04-10
ACC000000156,CUST0002721,FIXED_DEPOSIT,BR0095,2019-10-14,78584.25,28818.06,INR,ACTIVE,N,2024-09-22
ACC000000157,CUST0004027,SAVINGS,BR0036,2018-09-08,42103.53,3768.75,INR,ACTIVE,N,2025-08-31
ACC000000158,CUST0009420,SAVINGS,BR0017,2022-08-16,44327.23,41174.42,INR,ACTIVE,N,2024-03-31
ACC000000159,CUST0000143,CURRENT,BR0003,2023-09-28,44352.79,24139.06,INR,ACTIVE,N,2025-02-25
ACC000000160,CUST0002693,CURRENT,BR0117,2017-06-30,193830.6,147747.79,INR,ACTIVE,N,2023-04-08
ACC000000161,CUST0008924,SAVINGS,BR0043,2023-12-12,12839.68,10209.68,INR,DORMANT,N,2025-01-18
ACC000000162,CUST0004668,SAVINGS,BR0102,2017-06-01,144074.3,100763.58,INR,ACTIVE,N,2023-03-08
ACC000000163,CUST0005888,SAVINGS,BR0042,2023-06-04,48837.32,8158.52,INR,ACTIVE,N,2025-01-27
ACC000000164,CUST0009448,SAVINGS,BR0044,2024-09-06,40830.83,24305.05,INR,ACTIVE,N,2025-07-14
ACC000000165,CUST0002234,CURRENT,BR0010,2025-07-31,28025.66,608.19,INR,ACTIVE,N,2026-04-25
ACC000000166,CUST0005509,FIXED_DEPOSIT,BR0030,2026-05-17,107736.13,71740.59,INR,ACTIVE,N,2026-06-12
ACC000000167,CUST0007045,SAVINGS,BR0075,2023-03-26,226546.16,207770.94,INR,CLOSED,N,2023-11-04
ACC000000168,CUST0003523,SAVINGS,BR0057,2021-07-16,84940.62,43481.8,INR,ACTIVE,N,2024-05-28
ACC000000169,CUST0001447,SALARY,BR0041,2024-06-19,57721.49,12665.21,INR,ACTIVE,N,2026-03-19
ACC000000170,CUST0001135,SAVINGS,BR0100,2013-02-05,397041.58,387986.64,INR,ACTIVE,Y,2025-06-29
ACC000000171,CUST0005345,CURRENT,BR0046,2014-12-12,258668.4,240681.92,INR,ACTIVE,N,2025-12-02
ACC000000172,CUST0004773,FIXED_DEPOSIT,BR0053,2019-03-11,40582.36,4579.59,INR,DORMANT,N,2024-07-27
ACC000000173,CUST0008518,SAVINGS,BR0012,2019-06-15,59380.88,25926.2,INR,ACTIVE,N,2025-08-04
ACC000000174,CUST0002284,SALARY,BR0113,2017-01-02,66676.09,46104.47,INR,ACTIVE,N,2025-08-26
ACC000000175,CUST0009329,SAVINGS,BR0060,2015-02-18,84640.03,61168.87,INR,ACTIVE,N,2024-02-27
ACC000000176,CUST0003711,SAVINGS,BR0097,2013-09-10,31408.05,26851.76,INR,ACTIVE,N,2024-04-22
ACC000000177,CUST0003892,CURRENT,BR0093,2018-08-30,15552.31,1449.65,INR,ACTIVE,N,2023-12-04
ACC000000178,CUST0005844,SAVINGS,BR0092,2013-09-14,69966.97,33854.72,GBP,ACTIVE,N,2024-06-30
ACC000000179,CUST0004599,SAVINGS,BR0058,2019-06-13,77069.11,53877.8,INR,ACTIVE,N,2024-03-08
ACC000000180,CUST0005264,SAVINGS,BR0078,2021-03-20,359589.89,312249.87,INR,ACTIVE,N,2024-08-31
ACC000000181,CUST0006324,SALARY,BR0083,2016-08-30,144163.65,104525.42,INR,ACTIVE,N,2026-03-11
ACC000000182,CUST0003321,SAVINGS,BR0012,2022-01-08,164842.28,121623.07,INR,DORMANT,N,2023-03-02
ACC000000183,CUST0003053,SAVINGS,BR0065,2018-01-14,71734.44,32488.07,USD,ACTIVE,N,2026-02-10
ACC000000184,CUST0002308,SAVINGS,BR0036,2022-10-02,90049.16,61091.43,INR,ACTIVE,N,2025-02-28
ACC000000185,CUST0006501,SAVINGS,BR0084,2019-03-28,115501.13,65554.17,INR,ACTIVE,N,2023-08-27
ACC000000186,CUST0004692,CURRENT,BR0094,2022-11-24,11895.8,1317.94,INR,ACTIVE,N,2023-05-12
ACC000000187,CUST0004193,CURRENT,BR0058,2021-12-06,96107.8,52449.6,INR,DORMANT,N,2023-08-18
ACC000000188,CUST0003207,FIXED_DEPOSIT,BR0012,2020-07-02,345231.05,329336.79,INR,ACTIVE,N,2024-09-20
ACC000000189,CUST0008455,SAVINGS,BR0035,2024-04-03,194500.02,176471.28,INR,ACTIVE,N,2025-09-28
ACC000000190,CUST0007693,SAVINGS,BR0092,2025-07-21,54971.47,53720.24,USD,ACTIVE,N,2025-11-26
ACC000000191,CUST0002059,SAVINGS,BR0080,2014-08-12,68494.74,28637.84,INR,ACTIVE,N,2025-07-31
ACC000000192,CUST0009569,SAVINGS,BR0008,2017-04-27,948811.02,920743.61,INR,ACTIVE,N,2026-04-26
ACC000000193,CUST0009928,SALARY,BR0028,2023-08-13,64402.27,35317.04,USD,DORMANT,Y,2025-05-18
ACC000000194,CUST0008598,SAVINGS,BR0094,2020-10-17,51187.02,49741.62,INR,ACTIVE,N,2024-11-02
ACC000000195,CUST0001723,SAVINGS,BR0052,2015-08-09,9645.23,6446.21,INR,DORMANT,N,2024-12-30
ACC000000196,CUST0007379,CURRENT,BR0018,2015-01-15,200004.69,151616.49,INR,ACTIVE,N,2024-08-24
ACC000000197,CUST0002738,SAVINGS,BR0114,2024-01-25,93062.16,48536.38,INR,ACTIVE,N,2025-01-02
ACC000000198,CUST0001142,SALARY,BR0030,2021-08-21,401605.74,396701.34,INR,ACTIVE,N,2023-05-19
ACC000000199,CUST0000101,SAVINGS,BR0061,2016-11-09,82990.74,71556.92,INR,ACTIVE,N,2025-07-17
ACC000000200,CUST0008742,SAVINGS,BR0111,2025-11-21,96847.15,61611.87,INR,ACTIVE,N,2026-07-22
ACC000000201,CUST0009626,SAVINGS,BR0095,2013-04-13,17419.29,6716.56,INR,ACTIVE,N,2026-05-13
ACC000000202,CUST0005701,SALARY,BR0115,2015-07-03,72182.67,38242.57,INR,ACTIVE,N,2026-02-26
ACC000000203,CUST0000164,SAVINGS,BR0115,2016-02-08,25901.32,8428.24,INR,ACTIVE,N,2025-04-21
ACC000000204,CUST0003530,CURRENT,BR0035,2023-03-30,102856.85,72461.28,INR,ACTIVE,N,2024-01-15
ACC000000205,CUST0004899,SAVINGS,BR0078,2022-11-30,73636.86,60454.45,INR,ACTIVE,N,2024-09-25
ACC000000206,CUST0006654,SAVINGS,BR0008,2021-07-24,101383.76,54153.32,INR,ACTIVE,N,2023-08-11
ACC000000207,CUST0006186,SAVINGS,BR0048,2025-12-11,584337.82,549375.27,EUR,ACTIVE,N,2026-01-20
ACC000000208,CUST0009793,SAVINGS,BR0111,2023-02-12,315405.67,309285.94,EUR,ACTIVE,N,2023-05-29
ACC000000209,CUST0008516,SALARY,BR0085,2022-02-15,143296.36,118703.8,INR,ACTIVE,N,2024-11-07
ACC000000210,CUST0005660,SAVINGS,BR0014,2015-10-17,502256.87,468754.23,INR,ACTIVE,N,2024-08-25
ACC000000211,CUST0009407,CURRENT,BR0047,2018-09-23,26930.86,15629.15,INR,ACTIVE,N,2024-09-25
ACC000000212,CUST0001699,CURRENT,BR0112,2026-02-19,74873.16,41281.45,INR,ACTIVE,N,2026-07-19
ACC000000213,CUST0009820,CURRENT,BR0036,2019-05-09,28229.29,20237.17,INR,ACTIVE,N,2026-06-08
ACC000000214,CUST0000048,SAVINGS,BR0101,2016-04-13,174829.23,162489.54,INR,ACTIVE,N,2024-12-31
ACC000000215,CUST0008222,SAVINGS,BR0063,2019-05-05,105908.85,96548.84,INR,ACTIVE,N,2024-05-25
ACC000000216,CUST0005122,CURRENT,BR0025,2016-04-27,97479.24,79053.77,INR,ACTIVE,N,2025-02-22
ACC000000217,CUST0002959,CURRENT,BR0010,2019-03-07,16249.85,8051.87,INR,ACTIVE,N,2023-06-19
ACC000000218,CUST0008447,SAVINGS,BR0117,2023-07-08,37351.47,2732.35,INR,ACTIVE,Y,2026-03-19
ACC000000219,CUST0007783,CURRENT,BR0018,2016-06-18,389529.69,355251.9,INR,DORMANT,N,2024-02-02
ACC000000220,CUST0007302,SAVINGS,BR0109,2015-07-14,93931.32,56480.11,INR,ACTIVE,N,2025-08-04
ACC000000221,CUST0005226,SAVINGS,BR0015,2016-11-21,30555.15,13619.36,EUR,ACTIVE,N,2025-11-01
ACC000000222,CUST0008748,SAVINGS,BR0082,2026-02-09,52955.16,15512.38,INR,ACTIVE,N,2026-05-08
ACC000000223,CUST0008118,SALARY,BR0118,2019-12-07,42812.46,10030.93,INR,ACTIVE,N,2024-04-01
ACC000000224,CUST0001724,SAVINGS,BR0072,2014-02-09,503075.56,479327.46,INR,ACTIVE,N,2024-01-15
