customer_id,customer_name,customer_segment,age_group,city,state,occupation,annual_income_inr,risk_category,kyc_status,customer_since,customer_status
CUST0000074,Ishaan Kapoor,PREMIUM,46-60,New Delhi,Delhi,Retired,3205830,LOW,VERIFIED,2017-08-13,ACTIVE
CUST0000075,Ishaan Nair,SME,36-45,Jaipur,Rajasthan,Homemaker,8576551,MEDIUM,REJECTED,2018-06-19,BLOCKED
CUST0000076,Meera Iyer,RETAIL,60+,Kolkata,West Bengal,Retired,332661,LOW,VERIFIED,2026-02-27,ACTIVE
CUST0000077,Vivaan Kapoor,PREMIUM,36-45,Hyderabad,Telangana,Business Owner,1990808,LOW,VERIFIED,2024-02-19,ACTIVE
CUST0000078,Aarav Nair,PREMIUM,18-25,Kolkata,West Bengal,Student,4560877,HIGH,EXPIRED,2019-05-09,ACTIVE
CUST0000079,Arjun Gupta,RETAIL,60+,Jaipur,Rajasthan,Self-Employed,1431302,MEDIUM,VERIFIED,2013-01-03,ACTIVE
CUST0000080,Vivaan Singh,RETAIL,36-45,Indore,Madhya Pradesh,Professional,526297,LOW,VERIFIED,2023-06-22,ACTIVE
CUST0000081,Rahul Gupta,RETAIL,46-60,Bengaluru,Karnataka,Student,644869,LOW,VERIFIED,2024-12-21,ACTIVE
CUST0000082,Neha Kapoor,RETAIL,26-35,New Delhi,Delhi,Homemaker,870819,LOW,VERIFIED,2016-10-04,ACTIVE
CUST0000083,Vivaan Khan,RETAIL,18-25,Mumbai,Maharashtra,Salaried,1275099,LOW,VERIFIED,2014-01-24,ACTIVE
CUST0000084,Pooja Gupta,RETAIL,36-45,Kolkata,West Bengal,Business Owner,929668,LOW,VERIFIED,2015-10-28,ACTIVE
CUST0000085,Sai Reddy,RETAIL,60+,Bhubaneswar,Odisha,Homemaker,1071850,LOW,VERIFIED,2022-11-14,ACTIVE
CUST0000086,Ishaan Joshi,RETAIL,60+,Bengaluru,Karnataka,Homemaker,959028,LOW,VERIFIED,2024-09-12,ACTIVE
CUST0000087,Diya Verma,RETAIL,46-60,Bengaluru,Karnataka,Professional,1446577,LOW,VERIFIED,2025-11-22,ACTIVE
CUST0000088,Karan Kapoor,RETAIL,26-35,Chennai,Tamil Nadu,Retired,1436919,LOW,VERIFIED,2026-04-24,ACTIVE
CUST0000089,Pooja Singh,RETAIL,18-25,Kolkata,West Bengal,Homemaker,1796412,MEDIUM,EXPIRED,2014-01-09,ACTIVE
CUST0000090,Ananya Singh,RETAIL,36-45,Bhubaneswar,Odisha,Salaried,1177042,MEDIUM,VERIFIED,2015-11-13,ACTIVE
CUST0000091,Diya Reddy,RETAIL,36-45,Kochi,Kerala,Professional,316974,HIGH,VERIFIED,2013-12-04,ACTIVE
CUST0000092,Rahul Singh,SME,26-35,Mumbai,Maharashtra,Business Owner,4007411,LOW,VERIFIED,2025-09-09,ACTIVE
CUST0000093,Aanya Iyer,RETAIL,46-60,Bhubaneswar,Odisha,Homemaker,1414066,MEDIUM,VERIFIED,2019-06-18,CLOSED
CUST0000094,Sneha Gupta,RETAIL,36-45,Bhubaneswar,Odisha,Professional,1587997,MEDIUM,VERIFIED,2022-08-10,ACTIVE
CUST0000095,Sneha Patel,RETAIL,60+,Ahmedabad,Gujarat,Self-Employed,1656643,MEDIUM,EXPIRED,2018-03-28,ACTIVE
CUST0000096,Pooja Singh,RETAIL,26-35,Kochi,Kerala,Homemaker,649542,LOW,VERIFIED,2019-03-03,ACTIVE
CUST0000097,Pooja Sharma,RETAIL,36-45,Kolkata,West Bengal,Self-Employed,753670,MEDIUM,VERIFIED,2013-04-14,ACTIVE
CUST0000098,Aanya Kapoor,RETAIL,36-45,Mumbai,Maharashtra,Professional,319214,LOW,VERIFIED,2025-03-19,ACTIVE
CUST0000099,Aarav Joshi,PREMIUM,46-60,Bengaluru,Karnataka,Homemaker,3657449,LOW,VERIFIED,2015-05-11,ACTIVE
CUST0000100,Vivaan Patel,RETAIL,36-45,Kochi,Kerala,Student,1082847,LOW,VERIFIED,2015-12-09,ACTIVE
CUST0000101,Sneha Khan,RETAIL,60+,Bhubaneswar,Odisha,Homemaker,365596,LOW,VERIFIED,2013-10-24,ACTIVE
CUST0000102,Meera Singh,CORPORATE,46-60,Indore,Madhya Pradesh,Retired,29976423,HIGH,VERIFIED,2024-12-24,ACTIVE
CUST0000103,Ananya Nair,RETAIL,60+,Chennai,Tamil Nadu,Student,400012,LOW,VERIFIED,2022-11-20,ACTIVE
CUST0000104,Rahul Singh,RETAIL,46-60,Indore,Madhya Pradesh,Self-Employed,326901,LOW,VERIFIED,2021-05-18,ACTIVE
CUST0000105,Ishaan Das,SME,26-35,New Delhi,Delhi,Salaried,9265162,MEDIUM,PENDING,2014-10-31,ACTIVE
CUST0000106,Aarav Yadav,SME,36-45,Chennai,Tamil Nadu,Homemaker,2321534,LOW,VERIFIED,2024-06-12,ACTIVE
CUST0000107,Rahul Patel,RETAIL,60+,Indore,Madhya Pradesh,Homemaker,1632208,LOW,VERIFIED,2013-04-09,ACTIVE
CUST0000108,Priya Nair,RETAIL,36-45,Kochi,Kerala,Student,1296636,LOW,VERIFIED,2015-04-23,DORMANT
CUST0000109,Vivaan Yadav,RETAIL,36-45,Mumbai,Maharashtra,Retired,976160,LOW,VERIFIED,2023-07-22,ACTIVE
CUST0000110,Riya Reddy,PREMIUM,60+,Ahmedabad,Gujarat,Retired,4130273,MEDIUM,VERIFIED,2024-05-14,ACTIVE
CUST0000111,Arjun Khan,RETAIL,60+,Ahmedabad,Gujarat,Student,832596,MEDIUM,VERIFIED,2020-08-15,ACTIVE
CUST0000112,Vivaan Yadav,RETAIL,26-35,Chennai,Tamil Nadu,Homemaker,1551500,LOW,VERIFIED,2021-07-21,ACTIVE
CUST0000113,Karan Das,RETAIL,36-45,Jaipur,Rajasthan,Salaried,1270822,HIGH,VERIFIED,2013-08-30,ACTIVE
CUST0000114,Vivaan Sharma,PREMIUM,60+,New Delhi,Delhi,Student,3497724,LOW,VERIFIED,2022-04-06,ACTIVE
CUST0000115,Meera Sharma,RETAIL,46-60,Lucknow,Uttar Pradesh,Student,1114947,LOW,VERIFIED,2017-11-01,ACTIVE
CUST0000116,Priya Singh,PREMIUM,46-60,Chennai,Tamil Nadu,Self-Employed,1541831,HIGH,VERIFIED,2019-12-10,ACTIVE
CUST0000117,Karan Yadav,SME,18-25,Bhubaneswar,Odisha,Retired,6474560,LOW,VERIFIED,2019-03-18,ACTIVE
CUST0000118,Diya Sharma,RETAIL,36-45,Ahmedabad,Gujarat,Business Owner,1316448,LOW,VERIFIED,2013-01-12,ACTIVE
CUST0000119,Vivaan Yadav,RETAIL,60+,Jaipur,Rajasthan,Self-Employed,1468128,LOW,VERIFIED,2019-04-30,ACTIVE
CUST0000120,Rahul Sharma,RETAIL,36-45,Kolkata,West Bengal,Professional,920274,LOW,VERIFIED,2025-03-21,ACTIVE
CUST0000121,Sneha Nair,RETAIL,18-25,Ahmedabad,Gujarat,Professional,808344,LOW,VERIFIED,2013-12-26,ACTIVE
CUST0000122,Diya Verma,RETAIL,18-25,Indore,Madhya Pradesh,Homemaker,632528,MEDIUM,VERIFIED,2021-08-24,ACTIVE
CUST0000123,Riya Iyer,RETAIL,36-45,Kolkata,West Bengal,Salaried,1115155,MEDIUM,VERIFIED,2018-10-06,ACTIVE
CUST0000124,Sai Singh,PREMIUM,18-25,Kochi,Kerala,Business Owner,2616814,LOW,VERIFIED,2016-06-11,ACTIVE
CUST0000125,Sneha Yadav,CORPORATE,26-35,Hyderabad,Telangana,Business Owner,18545949,MEDIUM,VERIFIED,2016-01-21,ACTIVE
CUST0000126,Krishna Reddy,RETAIL,26-35,Lucknow,Uttar Pradesh,Homemaker,1007338,HIGH,VERIFIED,2025-01-10,ACTIVE
CUST0000127,Aanya Kapoor,RETAIL,36-45,Hyderabad,Telangana,Self-Employed,512652,LOW,VERIFIED,2021-03-23,ACTIVE
CUST0000128,Sneha Patel,RETAIL,26-35,Ahmedabad,Gujarat,Self-Employed,1106080,HIGH,PENDING,2018-05-27,ACTIVE
CUST0000129,Isha Joshi,RETAIL,46-60,Kochi,Kerala,Self-Employed,458316,HIGH,VERIFIED,2016-12-03,ACTIVE
CUST0000130,Neha Nair,RETAIL,26-35,Kochi,Kerala,Retired,1110402,LOW,VERIFIED,2018-11-09,ACTIVE
CUST0000131,Karan Yadav,RETAIL,46-60,Kolkata,West Bengal,Student,785441,MEDIUM,REJECTED,2018-05-25,ACTIVE
CUST0000132,Riya Singh,SME,36-45,Bhubaneswar,Odisha,Retired,3753506,LOW,VERIFIED,2018-11-15,ACTIVE
CUST0000133,Krishna Reddy,RETAIL,46-60,New Delhi,Delhi,Retired,1052758,MEDIUM,VERIFIED,2018-10-02,ACTIVE
CUST0000134,Riya Sharma,RETAIL,46-60,Lucknow,Uttar Pradesh,Salaried,909470,LOW,PENDING,2015-02-02,ACTIVE
CUST0000135,Aditya Mehta,RETAIL,18-25,Kolkata,West Bengal,Retired,1562930,LOW,VERIFIED,2020-11-17,ACTIVE
CUST0000136,Krishna Kapoor,RETAIL,26-35,Mumbai,Maharashtra,Self-Employed,1778103,LOW,VERIFIED,2017-11-14,ACTIVE
CUST0000137,Meera Mehta,SME,46-60,Jaipur,Rajasthan,Homemaker,4231789,LOW,PENDING,2014-06-02,BLOCKED
CUST0000138,Meera Rao,RETAIL,18-25,Chennai,Tamil Nadu,Student,562586,MEDIUM,VERIFIED,2018-05-06,ACTIVE
CUST0000139,Rahul Das,RETAIL,18-25,Kochi,Kerala,Professional,373550,HIGH,VERIFIED,2018-12-16,ACTIVE
CUST0000140,Ananya Yadav,CORPORATE,46-60,Ahmedabad,Gujarat,Self-Employed,9192074,MEDIUM,VERIFIED,2023-01-26,ACTIVE
CUST0000141,Neha Rao,PREMIUM,18-25,Bengaluru,Karnataka,Student,1703476,MEDIUM,VERIFIED,2024-09-26,ACTIVE
CUST0000142,Isha Singh,PREMIUM,36-45,Bengaluru,Karnataka,Salaried,3429019,LOW,VERIFIED,2012-09-30,ACTIVE
CUST0000143,Sai Das,RETAIL,18-25,Jaipur,Rajasthan,Professional,626306,HIGH,VERIFIED,2018-01-28,ACTIVE
CUST0000144,Isha Joshi,RETAIL,60+,Chennai,Tamil Nadu,Business Owner,1517931,LOW,VERIFIED,2022-08-01,BLOCKED
CUST0000145,Priya Gupta,RETAIL,26-35,Mumbai,Maharashtra,Self-Employed,791019,LOW,VERIFIED,2017-05-22,ACTIVE
CUST0000146,Ishaan Kapoor,RETAIL,18-25,Mumbai,Maharashtra,Business Owner,1690793,LOW,VERIFIED,2020-10-09,ACTIVE
CUST0000147,Vivaan Patel,RETAIL,60+,Kolkata,West Bengal,Student,1209590,HIGH,REJECTED,2017-02-09,ACTIVE
CUST0000148,Rohan Reddy,RETAIL,60+,Jaipur,Rajasthan,Salaried,456341,MEDIUM,VERIFIED,2013-03-07,ACTIVE
CUST0000149,Rohan Mehta,RETAIL,60+,Jaipur,Rajasthan,Homemaker,1578161,LOW,VERIFIED,2026-06-08,ACTIVE
CUST0000150,Meera Nair,PREMIUM,60+,Kolkata,West Bengal,Professional,2766514,HIGH,VERIFIED,2024-04-20,ACTIVE
CUST0000151,Isha Khan,CORPORATE,46-60,Hyderabad,Telangana,Self-Employed,25527236,MEDIUM,VERIFIED,2022-12-13,CLOSED
CUST0000152,Riya Yadav,SME,46-60,Jaipur,Rajasthan,Business Owner,5169300,LOW,VERIFIED,2014-03-25,ACTIVE
CUST0000153,Arjun Joshi,SME,36-45,Kochi,Kerala,Homemaker,2503976,MEDIUM,VERIFIED,2025-10-01,ACTIVE
CUST0000154,Neha Das,RETAIL,60+,Kochi,Kerala,Professional,1767029,LOW,VERIFIED,2016-02-13,ACTIVE
CUST0000155,Meera Das,PREMIUM,26-35,Bengaluru,Karnataka,Professional,3873511,LOW,VERIFIED,2016-10-16,DORMANT
CUST0000156,Aanya Singh,RETAIL,46-60,Bengaluru,Karnataka,Professional,760243,MEDIUM,VERIFIED,2025-04-18,ACTIVE
CUST0000157,Meera Gupta,RETAIL,46-60,Mumbai,Maharashtra,Student,982341,LOW,VERIFIED,2012-07-10,ACTIVE
CUST0000158,Aarav Yadav,RETAIL,18-25,New Delhi,Delhi,Student,1355301,HIGH,EXPIRED,2013-07-31,ACTIVE
CUST0000159,Rohan Sharma,PREMIUM,26-35,Kochi,Kerala,Student,3997372,LOW,VERIFIED,2020-08-24,ACTIVE
CUST0000160,Karan Sharma,PREMIUM,60+,Indore,Madhya Pradesh,Student,2156910,LOW,VERIFIED,2022-11-23,ACTIVE
CUST0000161,Aditya Sharma,PREMIUM,36-45,Lucknow,Uttar Pradesh,Retired,1959894,MEDIUM,VERIFIED,2024-09-21,ACTIVE
CUST0000162,Ishaan Rao,RETAIL,60+,Kochi,Kerala,Business Owner,834274,LOW,VERIFIED,2018-08-09,ACTIVE
CUST0000163,Aanya Iyer,RETAIL,26-35,Kochi,Kerala,Student,1327481,LOW,VERIFIED,2019-03-04,ACTIVE
CUST0000164,Ishaan Kapoor,PREMIUM,26-35,Indore,Madhya Pradesh,Self-Employed,1644725,LOW,VERIFIED,2013-08-22,ACTIVE
CUST0000165,Aditya Singh,RETAIL,36-45,Kolkata,West Bengal,Student,1195896,LOW,VERIFIED,2019-06-01,ACTIVE
CUST0000166,Neha Kapoor,RETAIL,46-60,Jaipur,Rajasthan,Student,1160388,LOW,VERIFIED,2015-05-21,ACTIVE
CUST0000167,Ishaan Kapoor,PREMIUM,26-35,New Delhi,Delhi,Student,3059254,LOW,VERIFIED,2023-05-10,ACTIVE
CUST0000168,Ananya Das,RETAIL,36-45,Mumbai,Maharashtra,Business Owner,1036267,MEDIUM,VERIFIED,2013-02-17,ACTIVE
CUST0000169,Aarav Verma,RETAIL,36-45,Indore,Madhya Pradesh,Student,406060,LOW,PENDING,2013-05-02,ACTIVE
CUST0000170,Aanya Gupta,RETAIL,36-45,Bhubaneswar,Odisha,Retired,1382687,LOW,VERIFIED,2024-05-22,ACTIVE
CUST0000171,Diya Gupta,RETAIL,36-45,Chennai,Tamil Nadu,Student,1232963,MEDIUM,VERIFIED,2016-12-16,ACTIVE
CUST0000172,Ishaan Das,RETAIL,60+,Kolkata,West Bengal,Retired,304290,LOW,VERIFIED,2021-02-02,ACTIVE
CUST0000173,Karan Kapoor,SME,46-60,New Delhi,Delhi,Professional,3732754,HIGH,VERIFIED,2017-03-29,ACTIVE
CUST0000174,Diya Iyer,RETAIL,46-60,Bhubaneswar,Odisha,Salaried,655083,LOW,VERIFIED,2022-01-20,ACTIVE
CUST0000175,Arjun Nair,PREMIUM,36-45,Mumbai,Maharashtra,Student,2059409,LOW,VERIFIED,2018-08-23,ACTIVE
CUST0000176,Aarav Nair,RETAIL,60+,Bengaluru,Karnataka,Retired,1141395,LOW,VERIFIED,2016-11-28,ACTIVE
CUST0000177,Sneha Rao,RETAIL,36-45,Mumbai,Maharashtra,Self-Employed,300222,LOW,VERIFIED,2016-03-21,ACTIVE
CUST0000178,Priya Joshi,RETAIL,18-25,Indore,Madhya Pradesh,Self-Employed,629364,LOW,VERIFIED,2018-11-26,ACTIVE
CUST0000179,Sneha Reddy,RETAIL,60+,New Delhi,Delhi,Homemaker,371924,MEDIUM,VERIFIED,2015-03-10,ACTIVE
CUST0000180,Aarav Singh,RETAIL,36-45,Chennai,Tamil Nadu,Self-Employed,497509,LOW,VERIFIED,2017-12-02,ACTIVE
CUST0000181,Arjun Mehta,PREMIUM,18-25,Bhubaneswar,Odisha,Professional,4053380,LOW,VERIFIED,2022-11-26,ACTIVE
CUST0000182,Pooja Khan,PREMIUM,60+,Ahmedabad,Gujarat,Professional,3686400,MEDIUM,VERIFIED,2022-02-26,ACTIVE
CUST0000183,Priya Sharma,PREMIUM,26-35,Jaipur,Rajasthan,Professional,2817646,MEDIUM,VERIFIED,2012-02-25,ACTIVE
CUST0000184,Sneha Mehta,RETAIL,36-45,Bhubaneswar,Odisha,Salaried,577981,HIGH,VERIFIED,2024-05-28,ACTIVE
CUST0000185,Rahul Nair,RETAIL,26-35,Lucknow,Uttar Pradesh,Business Owner,311439,MEDIUM,VERIFIED,2019-05-22,ACTIVE
CUST0000186,Ananya Khan,RETAIL,18-25,New Delhi,Delhi,Salaried,715433,LOW,VERIFIED,2022-01-03,ACTIVE
CUST0000187,Pooja Patel,RETAIL,18-25,New Delhi,Delhi,Student,1182777,MEDIUM,VERIFIED,2018-12-25,ACTIVE
CUST0000188,Sai Mehta,PREMIUM,60+,Lucknow,Uttar Pradesh,Business Owner,3987751,MEDIUM,VERIFIED,2019-07-29,ACTIVE
CUST0000189,Krishna Rao,RETAIL,46-60,Mumbai,Maharashtra,Homemaker,766278,MEDIUM,VERIFIED,2013-09-12,ACTIVE
CUST0000190,Isha Mehta,RETAIL,36-45,Mumbai,Maharashtra,Retired,1368854,LOW,VERIFIED,2017-04-26,ACTIVE
CUST0000191,Krishna Gupta,RETAIL,18-25,Bhubaneswar,Odisha,Student,1038787,MEDIUM,VERIFIED,2019-06-29,ACTIVE
CUST0000192,Rohan Gupta,RETAIL,26-35,Jaipur,Rajasthan,Student,1135838,LOW,REJECTED,2021-11-08,CLOSED
